T (K),ΔG (kJ/mol),Exergy Efficiency (%)
280.0,88.33794254559571,-34.778717537636105
282.44897959183675,88.38482787724232,-34.79717632962296
284.8979591836735,88.43171320888894,-34.815635121609816
287.3469387755102,88.47859854053554,-34.83409391359667
289.7959183673469,88.52548387218216,-34.85255270558353
292.2448979591837,88.57236920382877,-34.87101149757038
294.6938775510204,88.61925453547536,-34.88947028955723
297.14285714285717,88.66613986712198,-34.90792908154409
299.59183673469386,88.71302519876859,-34.92638787353094
302.0408163265306,88.7599105304152,-34.9448466655178
304.48979591836735,88.8067958620618,-34.963305457504646
306.9387755102041,88.85368119370841,-34.981764249491505
309.38775510204084,88.90056652535503,-35.00022304147836
311.83673469387753,88.94745185700164,-35.01868183346521
314.2857142857143,88.99433718864825,-35.03714062545207
316.734693877551,89.04122252029487,-35.05559941743892
319.18367346938777,89.08810785194147,-35.07405820942578
321.63265306122446,89.13499318358808,-35.09251700141263
324.0816326530612,89.18187851523469,-35.110975793399476
326.53061224489795,89.2287638468813,-35.129434585386335
328.9795918367347,89.27564917852791,-35.147893377373194
331.42857142857144,89.32253451017452,-35.166352169360046
333.8775510204082,89.36941984182113,-35.184810961346905
336.3265306122449,89.41630517346775,-35.20326975333376
338.7755102040816,89.46319050511435,-35.221728545320616
341.2244897959184,89.51007583676096,-35.24018733730747
343.6734693877551,89.55696116840757,-35.25864612929432
346.1224489795918,89.60384650005417,-35.27710492128117
348.57142857142856,89.65073183170078,-35.295563713268024
351.0204081632653,89.69761716334739,-35.314022505254876
353.46938775510205,89.74450249499401,-35.332481297241735
355.9183673469388,89.79138782664062,-35.35094008922859
358.36734693877554,89.83827315828722,-35.36939888121544
360.81632653061223,89.88515848993383,-35.38785767320229
363.265306122449,89.93204382158045,-35.40631646518915
365.7142857142857,89.97892915322706,-35.42477525717601
368.16326530612247,90.02581448487366,-35.44323404916286
370.61224489795916,90.07269981652027,-35.46169284114971
373.0612244897959,90.11958514816688,-35.480151633136565
375.51020408163265,90.1664704798135,-35.498610425123424
377.9591836734694,90.2133558114601,-35.517069217110276
380.40816326530614,90.26024114310671,-35.535528009097135
382.8571428571429,90.30712647475333,-35.55398680108399
385.3061224489796,90.35401180639994,-35.572445593070846
387.7551020408163,90.40089713804655,-35.5909043850577
390.2040816326531,90.44778246969315,-35.60936317704454
392.6530612244898,90.49466780133976,-35.6278219690314
395.1020408163265,90.54155313298638,-35.646280761018254
397.55102040816325,90.58843846463299,-35.66473955300511
400.0,90.6353237962796,-35.683198344991965
