T (K),ΔG (kJ/mol),Exergy Efficiency (%)
280.0,-74.29370633299999,100.0
282.44897959183675,-74.29370633299999,100.0
284.8979591836735,-74.29370633299999,100.0
287.3469387755102,-74.29370633299999,100.0
289.7959183673469,-74.29370633299999,100.0
292.2448979591837,-74.29370633299999,100.0
294.6938775510204,-74.29370633299999,100.0
297.14285714285717,-74.29370633299999,100.0
299.59183673469386,-74.29370633299999,100.0
302.0408163265306,-74.29370633299999,100.0
304.48979591836735,-74.29370633299999,100.0
306.9387755102041,-74.29370633299999,100.0
309.38775510204084,-74.29370633299999,100.0
311.83673469387753,-74.29370633299999,100.0
314.2857142857143,-74.29370633299999,100.0
316.734693877551,-74.29370633299999,100.0
319.18367346938777,-74.29370633299999,100.0
321.63265306122446,-74.29370633299999,100.0
324.0816326530612,-74.29370633299999,100.0
326.53061224489795,-74.29370633299999,100.0
328.9795918367347,-74.29370633299999,100.0
331.42857142857144,-74.29370633299999,100.0
333.8775510204082,-74.29370633299999,100.0
336.3265306122449,-74.29370633299999,100.0
338.7755102040816,-74.29370633299999,100.0
341.2244897959184,-74.29370633299999,100.0
343.6734693877551,-74.29370633299999,100.0
346.1224489795918,-74.29370633299999,100.0
348.57142857142856,-74.29370633299999,100.0
351.0204081632653,-74.29370633299999,100.0
353.46938775510205,-74.29370633299999,100.0
355.9183673469388,-74.29370633299999,100.0
358.36734693877554,-74.29370633299999,100.0
360.81632653061223,-74.29370633299999,100.0
363.265306122449,-74.29370633299999,100.0
365.7142857142857,-74.29370633299999,100.0
368.16326530612247,-74.29370633299999,100.0
370.61224489795916,-74.29370633299999,100.0
373.0612244897959,-74.29370633299999,100.0
375.51020408163265,-74.29370633299999,100.0
377.9591836734694,-74.29370633299999,100.0
380.40816326530614,-74.29370633299999,100.0
382.8571428571429,-74.29370633299999,100.0
385.3061224489796,-74.29370633299999,100.0
387.7551020408163,-74.29370633299999,100.0
390.2040816326531,-74.29370633299999,100.0
392.6530612244898,-74.29370633299999,100.0
395.1020408163265,-74.29370633299999,100.0
397.55102040816325,-74.29370633299999,100.0
400.0,-74.29370633299999,100.0
