T (K),ΔG (kJ/mol),Exergy Efficiency (%)
280.0,79.4210093423529,-39.91005494590598
282.44897959183675,79.93674799046562,-40.16922009571137
284.8979591836735,80.45248663857832,-40.42838524551674
287.3469387755102,80.96822528669102,-40.68755039532213
289.7959183673469,81.48396393480373,-40.9467155451275
292.2448979591837,81.99970258291643,-41.20588069493289
294.6938775510204,82.51544123102914,-41.465045844738256
297.14285714285717,83.03117987914186,-41.72421099454365
299.59183673469386,83.54691852725456,-41.98337614434902
302.0408163265306,84.06265717536726,-42.2425412941544
304.48979591836735,84.57839582347998,-42.50170644395979
306.9387755102041,85.0941344715927,-42.760871593765174
309.38775510204084,85.6098731197054,-43.02003674357056
311.83673469387753,86.1256117678181,-43.27920189337593
314.2857142857143,86.6413504159308,-43.53836704318131
316.734693877551,87.1570890640435,-43.79753219298669
319.18367346938777,87.67282771215623,-44.05669734279207
321.63265306122446,88.18856636026892,-44.31586249259745
324.0816326530612,88.70430500838165,-44.57502764240284
326.53061224489795,89.22004365649435,-44.83419279220821
328.9795918367347,89.73578230460706,-45.0933579420136
331.42857142857144,90.25152095271976,-45.35252309181897
333.8775510204082,90.76725960083247,-45.61168824162436
336.3265306122449,91.28299824894518,-45.87085339142974
338.7755102040816,91.79873689705788,-46.13001854123512
341.2244897959184,92.3144755451706,-46.3891836910405
343.6734693877551,92.8302141932833,-46.648348840845884
346.1224489795918,93.345952841396,-46.90751399065125
348.57142857142856,93.86169148950871,-47.166679140456644
351.0204081632653,94.37743013762143,-47.42584429026203
353.46938775510205,94.89316878573413,-47.685009440067404
355.9183673469388,95.40890743384684,-47.94417458987278
358.36734693877554,95.92464608195955,-48.20333973967817
360.81632653061223,96.44038473007225,-48.46250488948354
363.265306122449,96.95612337818497,-48.72167003928893
365.7142857142857,97.47186202629767,-48.98083518909431
368.16326530612247,97.98760067441037,-49.240000338899684
370.61224489795916,98.50333932252309,-49.49916548870507
373.0612244897959,99.01907797063579,-49.758330638510444
375.51020408163265,99.5348166187485,-50.01749578831583
377.9591836734694,100.05055526686124,-50.27666093812122
380.40816326530614,100.56629391497391,-50.53582608792658
382.8571428571429,101.08203256308664,-50.79499123773198
385.3061224489796,101.59777121119934,-51.05415638753736
387.7551020408163,102.11350985931203,-51.31332153734272
390.2040816326531,102.62924850742473,-51.572486687148114
392.6530612244898,103.14498715553746,-51.831651836953505
395.1020408163265,103.66072580365014,-52.09081698675887
397.55102040816325,104.17646445176288,-52.34998213656426
400.0,104.6922030998756,-52.60914728636965
