T (K),ΔG (kJ/mol),Exergy Efficiency (%)
280.0,42.88445001276576,
282.44897959183675,43.259532665938636,
284.8979591836735,43.63461531911151,
287.3469387755102,44.009697972284386,
289.7959183673469,44.38478062545727,
292.2448979591837,44.759863278630135,
294.6938775510204,45.13494593180302,
297.14285714285717,45.51002858497589,
299.59183673469386,45.88511123814877,
302.0408163265306,46.260193891321656,
304.48979591836735,46.63527654449454,
306.9387755102041,47.01035919766742,
309.38775510204084,47.385441850840294,
311.83673469387753,47.76052450401316,
314.2857142857143,48.135607157186044,
316.734693877551,48.510689810358926,
319.18367346938777,48.88577246353181,
321.63265306122446,49.26085511670468,
324.0816326530612,49.635937769877565,
326.53061224489795,50.01102042305045,
328.9795918367347,50.386103076223314,
331.42857142857144,50.761185729396196,
333.8775510204082,51.13626838256908,
336.3265306122449,51.51135103574195,
338.7755102040816,51.88643368891483,
341.2244897959184,52.26151634208772,
343.6734693877551,52.6365989952606,
346.1224489795918,53.01168164843346,
348.57142857142856,53.386764301606334,
351.0204081632653,53.761846954779216,
353.46938775510205,54.136929607952105,
355.9183673469388,54.51201226112497,
358.36734693877554,54.887094914297855,
360.81632653061223,55.26217756747073,
363.265306122449,55.63726022064361,
365.7142857142857,56.01234287381648,
368.16326530612247,56.38742552698937,
370.61224489795916,56.762508180162236,
373.0612244897959,57.13759083333513,
375.51020408163265,57.51267348650799,
377.9591836734694,57.887756139680896,
380.40816326530614,58.26283879285376,
382.8571428571429,58.637921446026645,
385.3061224489796,59.01300409919952,
387.7551020408163,59.3880867523724,
390.2040816326531,59.76316940554528,
392.6530612244898,60.13825205871816,
395.1020408163265,60.51333471189103,
397.55102040816325,60.88841736506391,
400.0,61.2635000182368,
