T (K),ΔG (kJ/mol),Exergy Efficiency (%)
280.0,42.671338058744354,-129.30708502649804
282.44897959183675,43.280847370150276,-131.1540829398493
284.8979591836735,43.89035668155619,-133.0010808532006
287.3469387755102,44.49986599296211,-134.84807876655182
289.7959183673469,45.10937530436806,-136.6950766799032
292.2448979591837,45.71888461577397,-138.54207459325448
294.6938775510204,46.328393927179896,-140.38907250660574
297.14285714285717,46.937903238585825,-142.23607041995703
299.59183673469386,47.547412549991755,-144.08306833330835
302.0408163265306,48.15692186139769,-145.93006624665966
304.48979591836735,48.766431172803614,-147.77706416001095
306.9387755102041,49.37594048420954,-149.62406207336224
309.38775510204084,49.985449795615466,-151.47105998671353
311.83673469387753,50.594959107021396,-153.31805790006484
314.2857142857143,51.20446841842731,-155.1650558134161
316.734693877551,51.81397772983325,-157.01205372676742
319.18367346938777,52.423487041239184,-158.85905164011874
321.63265306122446,53.03299635264509,-160.70604955347
324.0816326530612,53.642505664051036,-162.55304746682134
326.53061224489795,54.25201497545696,-164.4000453801726
328.9795918367347,54.86152428686289,-166.2470432935239
331.42857142857144,55.471033598268804,-168.09404120687518
333.8775510204082,56.08054290967475,-169.94103912022652
336.3265306122449,56.69005222108066,-171.78803703357775
338.7755102040816,57.299561532486585,-173.63503494692904
341.2244897959184,57.90907084389253,-175.48203286028038
343.6734693877551,58.51858015529845,-177.32903077363167
346.1224489795918,59.12808946670436,-179.1760286869829
348.57142857142856,59.737598778110296,-181.02302660033422
351.0204081632653,60.34710808951623,-182.87002451368554
353.46938775510205,60.95661740092215,-184.71702242703682
355.9183673469388,61.566126712328085,-186.56402034038814
358.36734693877554,62.175636023734015,-188.41101825373943
360.81632653061223,62.78514533513993,-190.25801616709072
363.265306122449,63.39465464654587,-192.10501408044203
365.7142857142857,64.00416395795177,-193.95201199379326
368.16326530612247,64.61367326935772,-195.7990099071446
370.61224489795916,65.22318258076363,-197.64600782049587
373.0612244897959,65.83269189216956,-199.49300573384716
375.51020408163265,66.44220120357548,-201.3400036471984
377.9591836734694,67.05171051498144,-203.1870015605498
380.40816326530614,67.66121982638735,-205.03399947390108
382.8571428571429,68.27072913779328,-206.8809973872524
385.3061224489796,68.8802384491992,-208.72799530060365
387.7551020408163,69.48974776060516,-210.57499321395503
390.2040816326531,70.09925707201106,-212.4219911273062
392.6530612244898,70.708766383417,-214.26898904065754
395.1020408163265,71.31827569482292,-216.11598695400883
397.55102040816325,71.92778500622883,-217.9629848673601
400.0,72.53729431763479,-219.8099827807115
