T (K),ΔG (kJ/mol),Exergy Efficiency (%)
280.0,472.4488511553731,0.0
282.44897959183675,474.9337737326434,0.0
284.8979591836735,477.4186963099137,0.0
287.3469387755102,479.90361888718394,0.0
289.7959183673469,482.38854146445436,0.0
292.2448979591837,484.8734640417246,0.0
294.6938775510204,487.35838661899504,0.0
297.14285714285717,489.8433091962653,0.0
299.59183673469386,492.3282317735356,0.0
302.0408163265306,494.8131543508059,0.0
304.48979591836735,497.2980769280763,0.0
306.9387755102041,499.78299950534665,0.0
309.38775510204084,502.26792208261696,0.0
311.83673469387753,504.7528446598873,0.0
314.2857142857143,507.2377672371575,0.0
316.734693877551,509.7226898144278,0.0
319.18367346938777,512.2076123916981,0.0
321.63265306122446,514.6925349689684,0.0
324.0816326530612,517.1774575462389,0.0
326.53061224489795,519.6623801235091,0.0
328.9795918367347,522.1473027007795,0.0
331.42857142857144,524.6322252780498,0.0
333.8775510204082,527.1171478553201,0.0
336.3265306122449,529.6020704325904,0.0
338.7755102040816,532.0869930098607,0.0
341.2244897959184,534.571915587131,0.0
343.6734693877551,537.0568381644014,0.0
346.1224489795918,539.5417607416716,0.0
348.57142857142856,542.026683318942,0.0
351.0204081632653,544.5116058962122,0.0
353.46938775510205,546.9965284734827,0.0
355.9183673469388,549.481451050753,0.0
358.36734693877554,551.9663736280233,0.0
360.81632653061223,554.4512962052936,0.0
363.265306122449,556.936218782564,0.0
365.7142857142857,559.4211413598341,0.0
368.16326530612247,561.9060639371046,0.0
370.61224489795916,564.3909865143748,0.0
373.0612244897959,566.8759090916451,0.0
375.51020408163265,569.3608316689155,0.0
377.9591836734694,571.8457542461858,0.0
380.40816326530614,574.3306768234562,0.0
382.8571428571429,576.8155994007265,0.0
385.3061224489796,579.3005219779967,0.0
387.7551020408163,581.7854445552671,0.0
390.2040816326531,584.2703671325374,0.0
392.6530612244898,586.7552897098077,0.0
395.1020408163265,589.2402122870781,0.0
397.55102040816325,591.7251348643483,0.0
400.0,594.2100574416188,0.0
