T (K),ΔG (kJ/mol),Exergy Efficiency (%)
280.0,534.7582349205517,0.0
282.44897959183675,537.4775841560552,0.0
284.8979591836735,540.1969333915583,0.0
287.3469387755102,542.9162826270617,0.0
289.7959183673469,545.6356318625652,0.0
292.2448979591837,548.3549810980684,0.0
294.6938775510204,551.0743303335719,0.0
297.14285714285717,553.7936795690753,0.0
299.59183673469386,556.5130288045785,0.0
302.0408163265306,559.2323780400819,0.0
304.48979591836735,561.9517272755854,0.0
306.9387755102041,564.6710765110886,0.0
309.38775510204084,567.3904257465921,0.0
311.83673469387753,570.1097749820955,0.0
314.2857142857143,572.8291242175987,0.0
316.734693877551,575.5484734531021,0.0
319.18367346938777,578.2678226886056,0.0
321.63265306122446,580.9871719241089,0.0
324.0816326530612,583.7065211596123,0.0
326.53061224489795,586.4258703951157,0.0
328.9795918367347,589.145219630619,0.0
331.42857142857144,591.8645688661225,0.0
333.8775510204082,594.5839181016258,0.0
336.3265306122449,597.3032673371291,0.0
338.7755102040816,600.0226165726325,0.0
341.2244897959184,602.7419658081359,0.0
343.6734693877551,605.4613150436393,0.0
346.1224489795918,608.1806642791425,0.0
348.57142857142856,610.9000135146459,0.0
351.0204081632653,613.6193627501494,0.0
353.46938775510205,616.3387119856527,0.0
355.9183673469388,619.058061221156,0.0
358.36734693877554,621.7774104566595,0.0
360.81632653061223,624.4967596921628,0.0
363.265306122449,627.2161089276663,0.0
365.7142857142857,629.9354581631695,0.0
368.16326530612247,632.6548073986729,0.0
370.61224489795916,635.3741566341763,0.0
373.0612244897959,638.0935058696797,0.0
375.51020408163265,640.812855105183,0.0
377.9591836734694,643.5322043406865,0.0
380.40816326530614,646.2515535761897,0.0
382.8571428571429,648.9709028116932,0.0
385.3061224489796,651.6902520471965,0.0
387.7551020408163,654.4096012827,0.0
390.2040816326531,657.1289505182032,0.0
392.6530612244898,659.8482997537066,0.0
395.1020408163265,662.5676489892098,0.0
397.55102040816325,665.2869982247132,0.0
400.0,668.0063474602167,0.0
